row ID,row m/z,row retention time,intensity_measure,s200525_Dog_Blank_01.mzXML Peak area,s200525_Dog_4h_02.mzXML Peak area,s200525_Dog_4h_03.mzXML Peak area,s200525_Dog_4h_01.mzXML Peak area,s200525_Dog_Blank_03.mzXML Peak area,s200525_Dog_Blank_02.mzXML Peak area,s200525_HUMAN_4h_01.mzXML Peak area,s200525_HUMAN_4h_02.mzXML Peak area,s200525_HUMAN_Blank_02.mzXML Peak area,s200525_HUMAN_4h_03.mzXML Peak area,s200525_HUMAN_Blank_01.mzXML Peak area,s200525_Mk_4h_02.mzXML Peak area,s200525_Mk_4h_03.mzXML Peak area,s200525_HUMAN_Blank_03.mzXML Peak area,s200525_Mk_4h_01.mzXML Peak area,s200525_Mk_Blank_02.mzXML Peak area,s200525_Mk_Blank_03.mzXML Peak area,s200525_Mou_4h_01.mzXML Peak area,s200525_Mk_Blank_01.mzXML Peak area,s200525_Mou_Blank_01.mzXML Peak area,s200525_Mou_Blank_02.mzXML Peak area,s200525_Mou_4h_03.mzXML Peak area,s200525_Mou_4h_02.mzXML Peak area,s200525_Rat_4h_02.mzXML Peak area,s200525_Mou_Blank_03.mzXML Peak area,s200525_Rat_Blank_02.mzXML Peak area,s200525_Rat_4h_01.mzXML Peak area,s200525_Rat_Blank_03.mzXML Peak area,s200525_Rat_4h_03.mzXML Peak area,s200525_Rat_Blank_01.mzXML Peak area,Unnamed: 33
11,337.23646431586866,34.415072222222214,area,4341252.248129878,4174125.320424793,4322455.0520959385,4399725.45187376,4444981.417043506,4522352.623939215,4732748.819858358,4508312.243769516,5214574.771824935,4907565.094406753,4987258.984853555,8563698.826006955,8461826.393908678,5015941.800922869,8902339.04126217,8205339.616942115,8243136.463657201,3391929.237864936,8200867.457360749,3962345.702033678,3961838.711237155,3288596.9018383906,2871523.82795416,10647788.708337449,3752808.3962401855,12368508.720076948,10787562.791803207,11516084.54137474,10823215.088789148,12423693.076878624,
12,360.3629259518319,35.02925555555556,area,4049905.362117293,3992773.520714096,3936169.0103869457,3965231.9919091575,4017654.777594594,4026478.912072738,4214704.246662579,4159431.8088403614,4056293.4677026286,4202927.661532582,4359182.305398629,4191205.462759382,4152780.50030455,4151496.875805658,4189142.6008105697,4212981.300659777,4189392.533947128,4027076.707230233,4201982.815129404,4018521.0066766352,4032922.4811975327,4064477.625476671,4048749.6646172935,4017786.0812267913,4028291.1436962816,4037757.726567366,4006693.674910262,3992098.0287170233,4028133.09542174,3974673.004552007,
13,732.5504766789852,34.75576111111111,area,8413404.878591307,3067967.3770362083,3046167.168979476,3209522.6006543487,5464520.880004867,6809417.33495941,7455630.711400142,7479425.889097895,7319249.920126998,7413350.595575848,7530665.235144017,7181961.889563005,8035753.949793717,6871602.27869963,7220347.357984618,7947382.718550394,7590219.353815921,7410690.215976598,8270687.175441296,6654801.257940681,7892755.052596451,6933205.833945305,7614712.353172298,2690223.6576464684,7595803.3216706,2966466.503071277,2539978.381894516,2874717.9996923674,2654980.6844628765,2998150.15562984,
14,502.2975885929717,35.035961111111114,area,3217820.9737548656,3065458.237382798,3435517.348154276,4061807.6185449073,3082364.5716943336,3024534.27489256,1916128.6075878795,1993342.5629101875,1549568.4956542873,1957610.8711962767,1495476.7064551073,766192.31833496,481736.8099999972,1418986.7517822224,742972.3088183621,696228.1257958943,629879.43287109,1321319.7630908096,794066.1360546886,1255806.8285644455,1465972.5165087774,1285298.8573315404,1229227.706816399,2459532.835498032,1183044.928227532,2048835.6506542845,2626004.4113281104,1846454.4825097544,2432564.5435839747,2166543.5737231714,
15,558.4203530787515,33.915016666666666,area,4565188.609272453,4365387.899267602,4057321.503415518,5068104.994101529,5633967.794097303,4310147.46316405,4410747.031035139,4481230.52722655,4533414.587412129,4436648.192978516,4559178.536611305,4436706.247138695,4499513.08018554,4205381.025087863,4409270.854746085,4303989.144384796,4447135.592526878,5421041.45202151,4333568.478281264,4486384.470557865,4391972.644907271,5465764.192822227,4969517.140888624,5446410.238679241,4427642.468193386,4399698.454570296,4316129.701999475,5401904.329878497,5356225.428286109,5419934.66233886,
16,301.1442903960203,35.676972222222226,area,2022280.0956738808,2075441.1800537205,2163344.386535635,2090197.982780741,2035586.2161132856,2028967.984990258,1667948.0029077358,1785403.9742334124,1449487.082524405,1861173.680534633,1489553.2647412024,2104312.522294916,2064305.782031237,1510448.2379833912,2149964.1278466955,2162305.458544871,2160745.684174792,2102211.366591784,2155466.778500969,2112349.8542809943,2101537.4944384643,2043419.841743152,2066254.08828612,2151253.802353494,2038254.4087646503,2180256.5749414028,2136103.2685302827,2197143.641977528,2118664.5019897344,2108552.849287104,
17,790.5879066613096,35.00576666666667,area,2048271.0035546748,1957113.500937488,2004735.6155078004,1953622.947187488,2039749.335048828,1882314.323789051,2276789.8278417834,2236350.3299609963,2199702.4668847583,2296287.888642569,2415820.58575198,2355426.770263658,2335557.282304676,2158066.3565429607,2283803.9846924087,2309290.097812489,2340673.678017569,1739643.6784374896,2281490.8602148504,1744343.1877343643,1591858.9992968654,1892386.8672656133,1608212.8419531153,1612728.5559374904,1591925.2269531155,1839643.310468739,1613752.9021874904,28838.477680663887,1549395.2747656156,1885708.4321875104,
18,621.4191802239972,34.22880555555555,area,2218355.896503893,2182148.312617197,2282161.8578124973,2213873.4113671747,2283592.458613278,2282334.276376944,2475702.955195323,2424679.276503892,2506359.968984345,2457906.6896484485,2445961.909570313,2425948.3183105406,2374949.7416406283,2526421.282792958,2435586.8481835783,2481975.173212937,2442201.490507783,2424354.187031278,2477367.506308635,2429176.404511704,2329514.8339453293,2518963.661757794,2462930.484218736,2444019.338886696,2458083.8291015886,2491780.5129882703,2438606.003554698,2432695.0495703206,2436085.1062304643,2451245.4688769383,
19,320.1720051516947,33.95528333333333,area,27842128.95077085,26985651.971185308,27243330.13749206,27303381.868122563,25958477.923528425,27748122.453976445,27616740.834296864,28394234.05460389,28644762.381488685,27580496.94631107,28463861.73331908,25809626.697382808,26141377.67484371,27051219.827924807,27513468.263698723,27631528.9146033,27049028.37308596,27160069.950266734,27720029.44891845,26599629.44158753,26198338.89839233,25981147.96173947,25741613.62820553,26130285.096294586,26501744.88764892,25746988.774709456,26173770.332120363,27244986.16425108,25767533.390919182,25920418.93365052,
20,679.4609491787601,34.50066111111111,area,1824053.322988297,1806189.735234341,1773775.1978320426,1834499.0855273416,1778535.8253320206,1799526.5849414133,1992702.1798828435,2005758.7437304563,1977413.9229492173,2028778.0876660035,2140437.032285201,1935953.351279297,1923506.235859388,2031583.432207041,1909137.3562499883,1886373.191992176,2011864.1538769547,2031566.7566601203,2035868.10438474,2004318.295156238,1998496.665341752,1956055.776904342,1987430.2133203496,2055689.317519551,1937143.7276171665,2006188.866640665,2038909.7983691783,2016625.628310592,2079105.5316699385,1975296.380966796,
21,325.12768805668685,33.958638888888885,area,24846729.549963653,24438935.971411124,25230172.885399472,24236065.88611022,23331592.15162473,24634149.627618395,27298503.83093934,27216586.132153485,29382119.00075808,26896210.051074248,26637308.221265867,25266435.331367187,25102843.67933592,27631389.595161133,26007379.271587808,27044451.85773316,26746222.939755883,25952331.64627625,27063833.51499819,25733745.71829497,26273748.593064874,25706478.53933897,24978417.393943485,25429535.558723155,25836392.11662232,25197300.675835565,25844442.41853088,26143375.70248777,25099641.204204705,24932584.04871032,
23,544.3455492805014,35.84981111111111,area,2252009.6794433286,2152533.1266479385,2453407.449716782,3526800.596894527,2720707.592509762,2219486.7400976466,672266.12135254,776113.2246142548,657794.4798535133,658801.3421484398,648514.9349267539,310549.8677343808,308474.32997070125,572564.3332812511,276840.1101464827,313505.83724609704,360440.6887353495,2443348.1541308444,468174.23109863,2123239.452792965,2604331.305415027,2315864.438188464,2248788.193193353,2127067.3718945347,2260979.792407216,1786554.249404306,2115187.311704094,1581940.0157421778,2066178.3863378896,1778734.5547607525,
24,563.3766540644663,33.90830555555556,area,2778419.163608393,2891878.018081078,2935877.081005853,2742061.1628320054,2816539.2029638723,2699334.379912099,2799908.1790820123,2834206.518642568,2854275.5477832207,2815982.3885156293,2887866.0623925664,2814831.8729980607,2741760.110175776,2872658.78852049,2799067.781367177,2949533.479924341,2843968.647421897,3258384.68157717,2881680.4466748107,3132603.5381396534,3156003.6843945626,5480590.873500338,2833349.045371059,3103881.1593799167,3021401.467500016,3166972.6219287,3162056.912856418,3148715.0219823928,3158888.925263656,3123802.446845695,
25,526.4316605733043,37.33319444444444,area,2368634.332377934,2256933.2236425765,2281146.325161124,2343500.3371459977,2365377.7203613194,2346630.8685058216,2362064.939306614,2372383.2231836007,2397729.6252246127,2391039.8577929903,2600237.958437484,2444960.089982916,2416374.9142724467,2304912.740263673,2460997.1361426017,2384160.589741234,2388216.3679150846,2359615.0614843844,2377674.3665381246,2385104.688273947,2357087.678105484,2382805.0881347344,2376782.5835497887,2345519.588745103,2304664.686445313,2378142.084599596,2367257.9552636603,2339296.2564599463,2330380.296142609,2390315.950126951,
26,614.4832971255286,37.22412222222222,area,2160559.1890722746,2043351.054931678,2055633.2745409808,2108556.829458047,2077961.818916024,2097907.3558007823,2153242.087831999,2126359.174218742,2218979.2916211085,2163606.048125045,2340517.5802929546,2220776.376459958,2026772.8327343813,2083961.5419824603,2178459.348999028,2121602.849160191,2129551.48262697,2153829.923574236,2159220.5893359724,2169189.879736352,2128732.263847664,2237519.3594775125,2207064.302568331,2095342.4940136664,2117620.6733496427,2146162.05477539,2229628.542709948,2217854.4142968613,2152284.9248437304,2174645.280546863,
27,319.2261368186358,33.89823888888889,area,3648490.906127916,3249202.465942392,3369686.8700170773,3425081.892648908,3591324.399449469,3576260.923662107,3109104.767447494,2921381.8990698257,3429875.527421886,3072582.074737556,3255214.6722338805,2626901.2631298923,2613523.740273453,3102320.7031298736,2721678.529086897,2608750.099215099,2533599.2332397583,1017087.8223596222,2575639.472091067,2383936.317110601,2302173.9978393675,977628.624362176,687057.5551318252,4819781.908463174,2193800.049304205,5936169.319293831,4745894.932167323,5455044.765964322,4797632.518264121,5998684.993395367,
28,821.3819390021843,33.64652222222222,area,148845.65082337277,258837.1395703304,3284711.7001122925,5642.62263427731,3451632.771224352,144551.1940429679,282782.0060449224,620557.15794924,3087819.9293847727,3263522.9995733723,3492654.151502691,3503660.629852297,3377466.892219251,700120.7116881968,3251311.150447985,3241671.812818909,356181.8230712896,2615292.079746092,3199734.6342053227,3409023.964298705,379610.7173425319,2809348.944472666,1043689.5112890372,3542229.157827146,1696822.8555517653,3463199.5235479902,3385818.4518777323,3225338.2309082034,3100974.1066992013,3509346.6767218173,
29,848.6253492999539,35.284283333333335,area,1247750.6467773365,1284171.9146093673,1348620.979609367,1226733.5200781552,1120502.2832031185,1104540.456601556,1250368.5031054611,1092547.3161718408,1345780.2154297072,1269140.8584961111,1329763.1794531168,1146329.9661328054,1252338.368886721,1201612.9329883077,1134189.9672265556,1240832.357636711,1244632.62949218,1213474.5445898157,1260798.3944335731,1423485.268134765,1403266.6857909954,1070439.2872461034,1049099.685898431,1388049.0806543024,1292816.2222265548,1399365.5839550695,1362988.8985742182,1353720.9176074136,1398727.685068373,1355766.9454882862,
30,737.502646478015,34.75240555555556,area,1315808.8388671796,1404184.4820508263,1340032.3768359297,1407391.564062529,1329328.4882031172,1427788.1178320227,1435994.1924218806,1392323.2138085852,1438350.9484570564,1447770.6261523352,1613116.552939432,1494936.242949231,1494444.9406836042,1551861.974785147,1500586.55382813,1438042.3066406162,1520200.7408398432,1431689.2942578387,1438448.2577539186,1533628.8636132872,1384254.4904687612,1457542.8624804595,1539670.7007617094,1442201.6104882725,1531402.4303320732,1451437.0860546788,1552305.6847460845,1495008.528300772,1519102.2711523343,1492910.8227538725,
31,361.2365719117322,34.55101666666667,area,2090017.444223645,2139468.92704588,2139437.9255505474,2235428.776401976,2047313.2334069752,2132899.03745118,2736799.2597070704,2492273.9018359254,2695536.346406251,2676273.6287341206,2414703.894425068,3152143.013287994,3087000.369270052,2519468.738037112,3226055.200872187,2668946.8596215714,2576060.1635376057,4540921.168395989,2739870.4943539365,4237064.190545642,4322334.755054278,4455079.583240422,4350211.865261233,8513983.874364026,4131618.4978540223,8337293.317453665,8480215.197832923,7571401.940766587,8534068.62320005,8367807.516136434,
32,658.5097043512382,37.162033333333326,area,2028708.1773584024,1936527.0858203424,1954686.115131812,1978373.0728271804,1992683.633876965,1934522.134116233,1975219.624609362,1946354.558315421,1965251.954296884,1917606.3726269824,2041393.3118847627,1993851.2744726487,1982220.4768945489,1875153.1915527745,1945735.458559568,1879065.1235595853,1884189.9089453148,2004527.14710938,1930269.2599072405,1970324.156430672,1973394.028818357,1962932.962187492,1965563.7982616995,1977847.430971681,1960164.7112988487,1979068.7358496203,1983478.164345692,1986785.9756542847,1969534.697802708,1978718.083933096,
33,352.2508100624318,34.13987222222223,area,1376693.7933838004,1241872.8132080329,1280661.8897949385,1302888.1478417888,1254466.640849594,1245431.1485961962,1323425.9655126915,1330513.465126959,1298587.2127050697,1306608.7361376924,952840.663027338,1288437.3593945638,1312954.5359814244,1239582.1888915957,1281222.867841799,1307936.2191503972,1359946.037373032,1336692.6622875934,1320664.658823223,1297118.7622558568,1282821.8622460924,1275630.541362295,1297847.6160253857,1267800.4032983251,1305705.4663232628,1214493.5548291192,1249078.3504052695,1187627.357963863,1322320.2641186577,1171199.5747070245,
34,482.4049571984609,37.39865,area,2080265.4807714843,1994364.3761865008,1926474.3843847727,1974662.881992167,2035286.205361316,2092430.5424706724,2125523.1638574144,2053135.4594384856,2095079.262226557,2067233.9163378887,2213917.289843736,2124162.6796704163,2083689.208173816,1969482.9151464729,2149360.2396460087,2101348.589260252,2055257.430747103,1961677.1189941368,2046576.6735742325,1952553.5087402333,2047164.897700201,1989776.6764868065,1995630.3234057687,1974267.907812489,1981267.102675765,2001848.649082021,1994590.1137353445,2000391.332236316,1999095.1280639945,2038907.2074780297,
35,315.25537691052494,34.42513888888889,area,2187088.7305615228,2087582.002947994,2032390.516614988,2107212.2686202927,2158835.081114525,2238624.985401005,2320023.767225329,2231496.163608386,2416027.63102783,2262109.1629980505,2094646.215644544,4068787.589025219,3965875.1491082776,2297042.3022168004,4284870.328115211,3872516.3319238178,3897023.7569287047,1588908.6334277089,3919861.740115919,1753959.3678216485,1773371.739793074,1401521.028588876,1311240.7084180014,6174367.821046782,1480183.427231422,6813077.522919029,6192546.222768674,6301706.880991332,6176682.081484422,6861579.135942352,
36,425.2192632740447,36.39518888888889,area,1148822.3464746024,1227734.6812451312,1209139.6017358794,1148464.7809814385,1090991.7288085967,1161199.6896826308,1316057.3260302658,1226633.2259960864,1460138.486123038,1235982.700664055,1422243.1884375429,1235995.8003564526,1123012.979667992,1320482.6808496148,1221513.4534179673,1230122.8094531177,1215551.7410791058,1185266.5075097815,1249441.9839990188,1233855.935649405,1173976.3163085952,1198506.7871386856,1159859.991035158,1202092.643325188,1168027.4237500117,1196516.3777441764,1241023.567285169,1265026.5766406343,1215550.9231054613,1163312.187031243,
37,403.2367638336736,36.39351111111111,area,1223803.704975585,1242237.5537597784,1281511.009506874,1205383.532753899,1186530.639350589,1137443.9005127088,1278926.361884758,1231034.9939648362,1345262.791220695,1226134.6207519458,1412341.8832373463,1244538.9047949289,1212149.4804907432,1222755.5005566443,1181969.364262694,1200793.7609374926,1154156.0916796916,1154419.3545947417,1206728.965053707,1230409.242138663,1202439.2148144536,1205467.995209974,1181795.4180712907,1236332.3172753835,1209660.099335948,1221681.0858838228,1240239.5816259885,1263290.0296728604,1228248.6465576123,1247764.798562006,
38,310.8299812308616,2.214432222222222,area,3228856.262023618,3147972.055336883,3198333.0031115096,3028397.858745788,3356888.0818416458,3344165.1101469425,3227444.3749807123,3229766.899715757,3244689.859714081,3262520.8256002814,3325705.703838928,3224345.1696425774,3199941.8624123856,3301425.9209755566,3219131.034594695,3311189.999456452,3234403.374073609,3272750.6117406613,3303483.642771852,3313291.01305008,3278506.0994356084,3314877.3602801817,3278773.3977791136,3231138.048658966,3316830.9962362056,3170300.279679809,3210585.24042038,3213226.4592789914,3147412.312575379,3114015.422696076,
39,780.5519242211255,36.90363888888888,area,12588263.32297362,6573864.162995602,4770893.918535155,9273193.438967282,17334564.68331054,16792873.50983764,13193363.708046874,11692871.61475708,11125631.731887208,12543488.994129645,12921287.39602052,12436806.118457032,11941014.632412111,12918413.171444098,13393675.431729734,13088481.161455076,15495828.571867684,12633121.941309808,12123744.157803956,392364.6886718744,1176588.0552185029,10526737.523308108,12919818.418532737,862094.4179467758,1834185.792587888,1659889.587990726,776894.2471911638,1587980.06574463,841548.144211427,1604232.9270947245,
40,526.298629213989,34.960461111111115,area,1622097.025048818,1653456.4425683492,1860307.3581738167,2202144.9607812306,1513725.0953320337,1602399.7061816307,18309.199018554576,1575208.6231006235,1189310.2669726491,1533579.3231591703,1189840.7075586058,436434.5317285129,428557.8231738256,1105580.6401562437,453555.22065919,403158.9647607398,393917.7507519508,1597591.7821289042,489014.0338086017,1543499.9106689412,1814027.1373315605,1555217.6221826104,1480085.8648242098,3204922.343173809,1330435.68833007,2786903.929965803,3299274.492600078,16626.680043945213,3182415.821884749,17814.810419921767,
42,446.76299401932886,2.197642777777778,area,2624492.7233193973,2595902.751041505,2538710.9977343134,2462360.2314954526,2749176.692810182,2727558.718300598,2576206.324673798,2567764.3020370468,2617095.591829713,2560782.862693818,2627149.980007201,2564026.964921385,2541257.3619972533,2638227.8462762446,2562100.890810272,2621350.053832884,2596439.4419501657,2572431.9275639346,2583557.929967713,2635444.358028565,2593113.382281495,2602071.828932221,2575065.6374064945,2546933.7790310057,2634396.763265319,2486916.2197702946,2527744.6414823,2545486.637905394,2470337.466284362,2482496.399078157,
43,400.3778558271728,35.48396666666667,area,972752.2883496124,966427.8399999992,945969.1782910216,930056.662275384,996748.1032665976,1002879.779921872,1141337.3556347648,1089982.8821777431,1040507.0869335874,1042304.3919921778,1274848.903281242,1017894.354736322,987566.5371679724,1100819.1427050715,1000318.188354492,1007763.9888134848,1034805.8629541352,923070.8628125276,1005874.9802344072,1001356.663681664,1014098.6806811722,980704.8001196304,937068.345605478,932822.1860351872,992541.3682763736,911360.3628613226,913895.7154443224,936274.3452929764,932811.6593676724,955255.9138329996,
44,702.5361147543856,37.10665555555556,area,1627153.173945313,1576138.4607544085,1563094.813085931,1566830.768466815,1601441.715634775,1609425.8544873355,1664881.4039746148,1635645.0145214763,1679661.2715185543,1569020.5029296984,1776992.3671826252,1690558.237211907,1646677.514111355,1599138.9555566676,1579793.5463183562,1595987.6985156252,1634886.0098632788,1531691.4748486304,1668249.8299902366,1608321.4012988273,1613327.3261376903,1629426.2294336073,1631038.869638664,1622081.5446435623,1590101.712724615,1570341.2205957277,1624816.324179686,1578563.0496777345,1569483.70984373,1593448.0739746017,
45,795.5445876000325,35.01247777777778,area,1085679.046601556,1099309.7384472592,1073880.102724603,1107784.42174804,1064383.9315332032,1082538.2996874934,1198514.7580468678,1204440.7044067702,1156276.1105175712,1229805.0104882738,1257621.1437011887,1114310.514931634,1118271.178574212,1208866.3035156175,1080102.227304702,1070153.7707324154,1140346.8624609306,1318857.1200341694,1150347.3432519569,1242146.0001269456,1224514.174311526,1364472.7692382757,1274110.5295019457,1238585.4127538989,1304608.441884758,1157106.181406243,1173478.3106933525,1187004.1474902274,2634577.917568353,1077808.8056835986,
46,333.26456923254915,27.08005555555556,area,2584919.943781432,2306869.901419064,2157897.3120205705,2238983.1711120587,2584737.4830856333,2599976.452957149,5060460.570921309,4960082.497544861,6643138.4654294085,5049315.600164196,5985747.11890592,7272476.260563955,7975089.760947864,6309549.820275904,7706790.852627263,9278854.452164952,10252145.796664136,1597916.4594442763,9340960.472039202,2152551.95843842,2035482.6363635235,1556538.772080687,1578491.799283136,9486604.195985893,2162865.090634468,10203022.249248007,9500332.472860444,9446935.936672378,9531489.91044039,10400497.458474703,
47,645.2770956533407,33.93346666666667,area,2359460.8930468643,2202599.9174414114,2494239.207832025,2383651.698076168,3956015.716420593,2305305.8277734444,2299770.542910153,2236658.2619531346,2648533.9352978584,4318350.709201668,4369891.519221183,4205143.828250737,4219730.554325263,2210784.694570312,4368893.963043517,4329440.8866516175,2359678.9523828225,2424788.9903906304,4356911.917442024,4214223.20316956,2314327.6037793057,2461591.626386712,1477984.863525366,4206163.701467905,1950486.187617194,4157818.3854437214,2623695.4048925675,2554445.4489745963,2571037.384096677,4122427.827868661,
48,339.25216877683874,34.55605,area,1659830.798398447,1458493.5147949124,1508757.2949218818,1513687.7647460953,1372026.1996679632,1692496.6163671934,1651763.6941748294,1609647.4289550686,1567340.6183984391,1649328.5862402243,1475693.086582043,1908745.6561133028,1900388.7370605725,1507366.6779492197,1986077.0070605413,1568499.1577343654,1635685.5180664123,2889145.307861328,1607922.285927727,2655264.8901464813,2666017.519570288,2770572.600908246,2734573.533647466,5951005.575659179,2603380.2220800994,5855303.810507835,5879054.244912106,5476200.723720699,5958161.796206052,5835741.5804003645,
